Generando 30 numeros pseudo aleatorios de: 57352
Y0 = 3289251904;	X1 = 89251;	r1 = 0.89251
Y1 = 7965741001;	X2 = 65741;	r2 = 0.65741
Y2 = 4321879081;	X3 = 21879;	r3 = 0.21879
Y3 = 478690641;	X4 = 86906;	r4 = 0.86906
Y4 = 7552652836;	X5 = 52652;	r5 = 0.52652
Y5 = 2772233104;	X6 = 72233;	r6 = 0.72233
Y6 = 5217606289;	X7 = 17606;	r7 = 0.17606
Y7 = 309971236;	X8 = 99712;	r8 = 0.99712
Y8 = 9942482944;	X9 = 42482;	r9 = 0.42482
Y9 = 1804720324;	X10 = 04720;	r10 = 0.04720
Y10 = 22278400;	X11 = 22784;	r11 = 0.22784
Y11 = 519110656;	X12 = 91106;	r12 = 0.91106
Y12 = 8300303236;	X13 = 00303;	r13 = 0.00303
Y13 = 91809;	X14 = 00303;	r14 = 0.00303
Y14 = 8428892481;	X15 = 28892;	r15 = 0.28892
Y15 = 834747664;	X16 = 47476;	r16 = 0.47476
Y16 = 2253970576;	X17 = 53970;	r17 = 0.53970
Y17 = 2912760900;	X18 = 12760;	r18 = 0.12760
Y18 = 162817600;	X19 = 28176;	r19 = 0.28176
Y19 = 793886976;	X20 = 38869;	r20 = 0.38869
Y20 = 1510799161;	X21 = 10799;	r21 = 0.10799
Y21 = 116618401;	X22 = 66184;	r22 = 0.66184
Y22 = 4380321856;	X23 = 80321;	r23 = 0.80321
Y23 = 6451463041;	X24 = 51463;	r24 = 0.51463
Y24 = 2648440369;	X25 = 48440;	r25 = 0.48440
Y25 = 2346433600;	X26 = 46433;	r26 = 0.46433
Y26 = 2156023489;	X27 = 56023;	r27 = 0.56023
Y27 = 3138576529;	X28 = 38576;	r28 = 0.38576
Y28 = 1488107776;	X29 = 88107;	r29 = 0.88107
Y29 = 7762843449;	X30 = 62843;	r30 = 0.62843
